"file","line","symbol","kind"
"js\lib\router-local.js","80","buildNoRoute","function"
"js\lib\router-local.js","90","normalizeOSRMLatLngs","function"
"js\lib\router-local.js","102","normalizeGraphHopper","function"
"js\lib\router-local.js","114","fetchWithTimeout","function"
"js\lib\router-local.js","127","routeOSRM","function"
"js\lib\router-local.js","166","routeGraphHopper","function"
"js\lib\router-local.js","183","route","function"
"js\lib\router-local.js","190","setProvider","function"
"js\lib\router-local.js","193","setOSRMBase","function"
"js\lib\router-local.js","197","setGraphHopperBase","function"
"js\lib\selfie-icon.js","6","noop","arrow"
"js\lib\selfie-icon.js","8","attach","function"
"js\lib\selfie-icon.js","26","setBusy","arrow"
"js\lib\selfie-icon.js","31","updateHint","arrow"
"js\lib\selfie-icon.js","39","handleClick","arrow"
"js\lib\selfie-icon.js","75","destroy","arrow"
"js\lib\selfie-icon.js","82","detach","function"
"js\lib\tracking-common.js","8","initLeafletMap","function"
"js\lib\tracking-common.js","19","buildIcons","function"
"js\lib\tracking-common.js","36","drawRouteWithPOIs","function"
"js\lib\tracking-common.js","77","routeLocal","function"
"js\lib\tracking-common.js","84","beep","function"
"js\lib\tracking-store.js","6","createServicioStore","function"
"js\lib\tracking-store.js","11","fetchLast","function"
"js\lib\tracking-store.js","27","emit","function"
"js\login\login.js","12","ensureSupabase","function"
"js\login\login.js","20","persistCustodiaProfile","function"
"js\login\login.js","30","goHome","function"
"js\login\login.js","98","normalizePin","function"
"js\login\login.js","102","setPin","function"
"js\login\login.js","110","renderDots","function"
"js\login\login.js","116","appendDigit","function"
"js\login\login.js","121","removeDigit","function"
"js\login\login.js","126","clearPin","function"
"js\login\login.js","130","scheduleCheck","function"
"js\login\login.js","140","runValidation","function"
"js\login\login.js","149","setChecking","function"
"js\login\login.js","154","isCurrent","function"
"js\login\login.js","158","shakeDots","function"
"js\login\login.js","164","markError","function"
"js\login\login.js","168","clearError","function"
"js\login\login.js","172","validatePin","function"
"js\login\login.js","189","validateCustodia","function"
"js\login\login.js","216","finalizeCustodiaLoginById","function"
"js\login\login.js","259","validateUsuario","function"
"js\login\login.js","309","shakeAndClear","function"
"js\mapa.js","11","showMsg","arrow"
"js\mapa.js","24","primeAudioForAlerts","arrow"
"js\mapa.js","48","canUseRealtime","arrow"
"js\mapa.js","97","extendSession","arrow"
"js\mapa.js","104","startSessionTouchLoop","arrow"
"js\mapa.js","140","registrarUbicacionSeguro","function"
"js\mapa.js","250","buildMarkerKey","arrow"
"js\mapa.js","331","distanciaM","function"
"js\mapa.js","345","verifyMapOwner","function"
"js\mapa.js","356","ensureGeoPermission","function"
"js\mapa.js","373","refreshCustodiosList","function"
"js\mapa.js","405","renderCustodiosList","function"
"js\mapa.js","452","openCustodiosSidebar","function"
"js\mapa.js","463","closeCustodiosSidebar","function"
"js\mapa.js","480","formatRelativeTime","function"
"js\mapa.js","492","cargarServicio","function"
"js\mapa.js","542","initMap","function"
"js\mapa.js","584","setupPanicButton","function"
"js\mapa.js","639","iniciarTracking","function"
"js\mapa.js","650","requestFreshLocation","arrow"
"js\mapa.js","688","onInterval","function"
"js\mapa.js","719","subscribeServicio","function"
"js\mapa.js","741","cleanupServicioChannel","function"
"js\mapa.js","751","cleanupChannels","function"
"js\mapa.js","760","clearRouteLayer","function"
"js\mapa.js","779","notifyRouteDown","function"
"js\mapa.js","785","buildRouteHash","function"
"js\mapa.js","792","ensureRoute","function"
"js\mapa.js","803","fetchRoute","arrow"
"js\mapa.js","858","applyRouteGeometry","function"
"js\mapa.js","886","whenCheckinApiReady","function"
"js\mapa.js","898","initCheckinMonitoring","function"
"js\mapa.js","912","handleCheckinEvent","function"
"js\mapa.js","961","matchesTargetCustodia","function"
"js\mapa.js","986","handleAdminPanic","function"
"js\mapa.js","994","startAlarmFallback","function"
"js\mapa.js","1008","stopAlarmFallback","function"
"js\mapa.js","1016","pollAlarmEvents","function"
"js\mapa.js","1059","scheduleLocalCheckin","function"
"js\mapa.js","1080","computeCheckinDelay","function"
"js\mapa.js","1087","triggerLocalCheckin","function"
"js\mapa.js","1111","buildLocalCheckinPayload","function"
"js\mapa.js","1129","clearLocalCheckinTimer","function"
"js\mapa.js","1138","cleanupCheckinMonitoring","function"
"js\mapa.js","1160","setupExtremeReportModal","function"
"js\mapa.js","1184","handleExtremeReportRecord","function"
"js\mapa.js","1207","openExtremeTextArea","function"
"js\mapa.js","1217","closeExtremeTextArea","function"
"js\mapa.js","1228","handleExtremeRemoteAck","function"
"js\mapa.js","1234","showExtremeReport","function"
"js\mapa.js","1273","hideExtremeReportUI","function"
"js\mapa.js","1283","resumeExtremeReport","function"
"js\mapa.js","1296","resetExtremeReportFlow","function"
"js\mapa.js","1317","toggleExtremeButtons","function"
"js\mapa.js","1324","applyExtremeCopy","function"
"js\mapa.js","1353","startExtremeOutputs","function"
"js\mapa.js","1369","stopExtremeOutputs","function"
"js\mapa.js","1381","startExtremeVibration","function"
"js\mapa.js","1396","stopExtremeVibration","function"
"js\mapa.js","1407","requestExtremeWakeLock","function"
"js\mapa.js","1425","releaseExtremeWakeLock","function"
"js\mapa.js","1438","triggerExtremeNotification","function"
"js\mapa.js","1488","closeExtremeNotification","function"
"js\mapa.js","1498","handleExtremeAudioAction","function"
"js\mapa.js","1522","handleExtremeSafeAction","function"
"js\mapa.js","1531","handleExtremeTextSubmit","function"
"js\mapa.js","1558","sendExtremeAck","function"
"js\mapa.js","1581","buildExtremeRecordSource","function"
"js\mapa.js","1611","handleRutaDesvioRecord","function"
"js\mapa.js","1638","openRutaAlert","function"
"js\mapa.js","1645","closeRutaAlert","function"
"js\mapa.js","1656","isRutaAlertOpen","function"
"js\mapa.js","1660","updateRutaAlertContent","function"
